Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
Vertrauen in Institutionen,Trust in institutions,TRUST_GOVERN,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Bundesregierung,Federal government,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,NA,TRUST_GOVERN_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_WHO,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Weltgesundheitsorganisation (WHO),World Health Organization (WHO),"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,NA,TRUST_WHO_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_COMP1_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... ist das RKI kompetent.,... the RKI is competent.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_BEN1_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,"... wird das RKI sein Bestes tun, den Bürgern zu helfen, wenn sie Hilfe benötigen.",... the RKI will do his best to help people when they need help.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_INT1_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... tritt das RKI auf eine aufrichtige Art und Weise an den Bürger heran.,... enters the RKI zoom in a straightforward manner to the citizens.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_COMP2_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... ist das RKI ein Experte.,... is the RKI an expert.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_BEN2_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... agiert das RKI im Interesse der Bürger.,... operates the Robert Koch Institute in the interest of citizens.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_INT2_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... ist das RKI aufrichtig.,... the RKI is sincere.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_COMP3_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... führt das RKI seine Pflichten sehr gut aus.,... leads the RKI very well his duties.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_BEN3_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... ist das RKI aufrichtig interessiert an das Wohlergehen der Bürger.,... is the RKI genuinely interested in the welfare of the citizens.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen RKI,trust RKI,T_INT3_RKI,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf das Robert Koch-Institut (RKI) zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements do you think of the Robert Koch Institute (RKI) zutreffen.In terms of dealing with the Corona outbreak situation ...,... ist das RKI ehrlich.,... the RKI is honest.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_COMP1_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... ist die Bundesregierung kompetent.,... the federal government is competent.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_BEN1_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,"... wird die Bundesregierung ihr Bestes tun, den Bürgern zu helfen, wenn sie Hilfe benötigen.",... the federal government will do their best to help people when they need help.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_INT1_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... tritt die Bundesregierung auf eine aufrichtige Art und Weise an den Bürger heran.,... takes the federal government in a straightforward way to connect with citizens.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_COMP2_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... ist die Bundesregierung ein Experte.,... the federal government an expert.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_BEN2_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... agiert die Bundesregierung im Interesse der Bürger.,... operates the federal government in the interest of citizens.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_INT2_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... ist die Bundesregierung aufrichtig.,... the federal government is sincere.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_COMP3_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... führt die Bundesregierung ihre Pflichten sehr gut aus.,... the federal government performs its duties very well.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_BEN3_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... ist die Bundesregierung aufrichtig interessiert an das Wohlergehen der Bürger.,... the federal government genuinely interested in the welfare of the citizens.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Vertrauen Bundesregierung,Trust government,T_INT3_GOVERN,Unipark,"Bitte geben Sie an, inwiefern folgende Aussagen Ihrer Meinung nach auf die Bundesregierung zutreffen.In Bezug auf den Umgang mit der Corona-Ausbruchssituation ... ",Please indicate to what extent the following statements you think zutreffen.In on the Federal Government regarding the handling of the corona outbreak situation ...,... ist die Bundesregierung ehrlich.,... the federal government is honest.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Führungsrolle Krisenkommunikation,Leadership crisis communication,"LEADER_LOCAL_HEALTH
NO_RANK",Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Das örtliche Gesundheitsamt,The local health department,"Ranking 
1
2
3
4

NO_RANK
1	Nein, ich kann oder möchte keine Rangreihenfolge bilden.","ranking
1
2
3
4

NO_RANK
1 No, I can not or will not rank order form.",NO_RANK = 1,"NA
0",keine,"es ist möglich, dass sowohl eine Rangreihe gebildet wurde, als auch ""NO_RANK=1""; besser ist es, NO_RANK nicht in die Auswertung einzubeziehen!","it is possible that both a ranking order was formed, as well as ""NO_RANK = 1""; it is better not to include NO_RANK in the evaluation!",Nein,No,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Führungsrolle Krisenkommunikation,Leadership crisis communication,"LEADER_STATE_HEALTH
NO_RANK",Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Das Ministerium für Gesundheit Ihres Bundeslandes,The Ministry of Health in your province,"Ranking 
1
2
3
4

NO_RANK
1	Nein, ich kann oder möchte keine Rangreihenfolge bilden.","ranking
1
2
3
4

NO_RANK
1 No, I can not or will not rank order form.",NO_RANK = 1,"NA
0",keine,"es ist möglich, dass sowohl eine Rangreihe gebildet wurde, als auch ""NO_RANK=1""; besser ist es, NO_RANK nicht in die Auswertung einzubeziehen!","it is possible that both a ranking order was formed, as well as ""NO_RANK = 1""; it is better not to include NO_RANK in the evaluation!",Nein,No,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Führungsrolle Krisenkommunikation,Leadership crisis communication,"LEADER_FEDERAL_HEALTH
NO_RANK",Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Bundesministerium für Gesundheit,Federal Ministry of Health,"Ranking 
1
2
3
4

NO_RANK
1	Nein, ich kann oder möchte keine Rangreihenfolge bilden.","ranking
1
2
3
4

NO_RANK
1 No, I can not or will not rank order form.",NO_RANK = 1,"NA
0",keine,"es ist möglich, dass sowohl eine Rangreihe gebildet wurde, als auch ""NO_RANK=1""; besser ist es, NO_RANK nicht in die Auswertung einzubeziehen!","it is possible that both a ranking order was formed, as well as ""NO_RANK = 1""; it is better not to include NO_RANK in the evaluation!",Nein,No,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
